Id,Predicted
John Carter ,5.943606443160482
Avengers: Age of Ultron ,7.406494705705115
Cars 2 ,6.13401299840138
Green Lantern ,6.31643709021785
Terminator Salvation ,6.323677283268777
Star Trek Beyond ,5.480310222094631
X-Men: Apocalypse ,6.15948889111639
The Dark Knight ,10.126510075791595
Up ,7.857252319043228
Monsters vs. Aliens ,5.661536149875039
Inside Out ,7.228932557248992
Wreck-It Ralph ,6.683597926727469
How to Train Your Dragon ,7.082258967449246
Terminator 3: Rise of the Machines ,5.8957192965331595
Kung Fu Panda 3 ,5.488439495997602
Star Trek ,7.364455887166807
Gods of Egypt ,5.3581436829915186
Turbo ,5.689890898337748
War of the Worlds ,6.749790368074167
Speed Racer ,6.001027178247123
Fantastic Four ,5.718801982287014
Real Steel ,6.6693285468005294
Ender's Game ,6.1060666821054586
Kingdom of Heaven ,6.95054203485454
The Martian ,8.204797733676367
Django Unchained ,10.616039172228668
Point Break ,5.349874710887484
Surf's Up ,6.038365458510666
Finding Nemo ,8.265803558021405
Seventh Son ,5.457492234430698
Jurassic Park III ,5.828022679350727
The Girl with the Dragon Tattoo ,8.231345713004236
Alvin and the Chipmunks: The Road Chip ,5.418133954978425
Seabiscuit ,6.637707765425917
Enemy of the State ,6.5074701027914115
It's Complicated ,6.2199217914985
The Fast and the Furious: Tokyo Drift ,5.859409889942216
Click ,6.36963810483542
Cats & Dogs: The Revenge of Kitty Galore ,5.182857925480726
Lilo & Stitch ,6.236273800686905
RED 2 ,6.058158932651558
Zookeeper ,5.887651667768942
Déjà Vu ,6.1805092787836
What Dreams May Come ,6.196632977519269
Journey 2: The Mysterious Island ,5.831595967357214
Inspector Gadget ,5.698882110536376
Grown Ups ,6.275966314161367
Vertical Limit ,5.852818771642119
The Man from U.N.C.L.E. ,6.329901624721506
Driven ,5.7696523388977585
Cars ,6.90468207218481
The SpongeBob Movie: Sponge Out of Water ,5.722439752293462
Wolf ,6.598536505399935
The Abyss ,6.752953639382286
I Spy ,5.602592916101339
The Twilight Saga: Eclipse ,6.847495673549345
Need for Speed ,6.2972754193242855
Lincoln ,8.263490222690924
Death Race ,6.523720232805345
Hudson Hawk ,5.869207999719354
Two Weeks Notice ,5.811066315256473
Days of Thunder ,6.038865081054966
The Scorch Trials ,6.086638000185597
The Family Man ,6.231271280704639
Up Close & Personal ,6.148243315579799
The Boxtrolls ,6.01200164764093
Mercury Rising ,6.000737507491357
The Last Castle ,6.158671125912202
Dark Water ,6.314852104766839
The Internship ,6.388666782349125
The Nutty Professor ,5.977239069290467
Muppets Most Wanted ,6.376522150452798
Flags of Our Fathers ,7.249261321849001
Lucky You ,6.299981666161351
Valentine's Day ,6.304431017884961
Casino ,8.23010633705363
Robin Hood: Prince of Thieves ,6.516803779619476
Patch Adams ,6.5325531421518654
22 Jump Street ,6.942160677451063
Payback ,6.06608831203536
"Crazy, Stupid, Love. ",7.3075890456247254
The Game ,7.431965987700105
Into the Storm ,5.578970626242042
For Love of the Game ,6.643691060955918
The Iron Giant ,6.044795799273873
Baby's Day Out ,5.9473412307701095
Gamer ,6.103019593678611
Chappie ,6.713151415943535
The Tooth Fairy ,5.169038040269961
3:10 to Yuma ,7.228727170751903
The Thomas Crown Affair ,6.621256897956427
America's Sweethearts ,5.8573002037294
Courage Under Fire ,6.2793758174499175
The Muppets ,6.830806659558627
Blended ,6.056861939140809
The Bounty Hunter ,5.960795373811214
Pinocchio ,7.760219521317866
42 ,6.67831516545066
Vantage Point ,6.411461716620829
Shall We Dance ,5.75298978563573
The Prestige ,9.179216208547905
Gothika ,5.742696366696072
Amistad ,7.390568521887006
The Guilt Trip ,5.6185405581535734
Scream 4 ,6.279977931027426
Pay It Forward ,6.538446082829861
A Million Ways to Die in the West ,6.829648823574759
Morning Glory ,5.965861855834477
Memoirs of an Invisible Man ,5.848246466855423
Soul Men ,6.044387679656382
The Ugly Truth ,6.441282039593842
Sgt. Bilko ,5.637804734688361
The Express ,6.6261524603303545
What to Expect When You're Expecting ,6.075452675375347
Cop Out ,6.295078353885724
Hot Tub Time Machine ,6.530941494935218
Aloha ,5.858920024000245
Ghosts of Mississippi ,6.387634530640708
A Nightmare on Elm Street ,6.481991058682165
Radio ,6.366768427573459
Must Love Dogs ,5.6282253764605725
The Bad News Bears ,6.393714743256886
Hot Pursuit ,5.430237686299978
Lions for Lambs ,6.704479322087884
Stigmata ,5.527011556873766
Cats Don't Dance ,6.045015114041952
The Good German ,6.8908176566828585
Going the Distance ,6.018796518417946
Vacation ,6.230408899549713
The Addams Family ,6.167079399970959
Glory Road ,6.438986458542108
Sicario ,7.169106228312645
The Age of Adaline ,6.537708817532752
Little Shop of Horrors ,6.242031700281184
Hanna ,6.635492686259577
What's the Worst That Could Happen? ,5.611404657053889
Virtuosity ,5.938653426378998
Love & Other Drugs ,6.785644166457356
88 Minutes ,6.454240938168416
Mumford ,6.281823676775601
Straight Outta Compton ,7.737004412801212
Blade Runner ,8.019075530357004
3 Days to Kill ,5.980902236729993
The Right Stuff ,7.271804435473791
Shakespeare in Love ,6.621600697633045
Open Range ,6.873770209258668
Pain & Gain ,7.167388011962078
The Passion of the Christ ,6.760295966818864
The Best of Me ,6.042421865624704
Agent Cody Banks ,5.771372076402295
Money Talks ,5.859754494122148
There Will Be Blood ,8.202073746156413
He Got Game ,6.984627778164028
Don Juan DeMarco ,5.854754726696717
Lords of Dogtown ,6.37542053035178
Mrs. Winterbourne ,5.754397283633078
Tank Girl ,5.947588176135245
King's Ransom ,5.425211474830661
Jane Got a Gun ,5.67642058044655
Old School ,6.405696481980425
The Fisher King ,6.643393810833724
"Girl, Interrupted ",7.165142730068005
Muppets from Space ,6.1382430438017055
Play It to the Bone ,6.158154881180358
I Don't Know How She Does It ,5.66006134338433
Zombieland ,7.891236599711266
Marvin's Room ,6.290519885419671
Vanity Fair ,6.444118384664527
Spaceballs ,6.664426669758727
Delivery Man ,5.827322639189799
The Conjuring ,7.048468431976062
White Chicks ,5.820034669762705
Lakeview Terrace ,6.201450453267657
Vampires Suck ,5.55528821402129
Nancy Drew ,5.822270309768105
Shorts ,5.727013701888822
Psycho ,8.00391305516119
Under the Rainbow ,6.013608945172496
The Weather Man ,6.2882885676509375
Ghost Town ,6.124397880723203
We're No Angels ,5.992650728848604
People I Know ,6.077969807655194
Take Me Home Tonight ,5.92355481522236
Indignation ,6.030938844028476
Deuce Bigalow: Male Gigolo ,6.141999622841759
My Big Fat Greek Wedding 2 ,5.616638120071541
Peggy Sue Got Married ,6.252456584580583
Honey ,6.223651614804353
Small Time Crooks ,6.398361915811212
Youth in Revolt ,6.354004499300076
The Salton Sea ,6.237368145265581
Let's Be Cops ,6.12062498340356
Good Boy! ,5.6703957819509085
Lottery Ticket ,5.43089526896618
ATL ,5.609318929325634
Fur: An Imaginary Portrait of Diane Arbus ,6.640869562856399
Sense and Sensibility ,6.98608822171794
Dead Poets Society ,7.07018344953034
The Women ,5.850683691521
Boys and Girls ,5.691076068050778
How to Deal ,5.600958012741571
Philadelphia ,7.004390936345844
Why Did I Get Married? ,5.699879599717345
The Great Debaters ,6.569999041275057
The Object of My Affection ,6.084084246499187
When the Game Stands Tall ,6.071450336094193
The Place Beyond the Pines ,7.637413499386921
One Day ,6.64394261908847
The Midnight Meat Train ,6.048588146675775
The Good Night ,5.746980602265538
Pretty Woman ,7.109388729189144
My Bloody Valentine ,5.7781076761426675
Stomp the Yard ,6.127918430910389
Poetic Justice ,6.510726772042361
Thinner ,5.872971081048696
Margaret ,6.932652695371666
Justin Bieber: Never Say Never ,7.2782260742129266
10 Things I Hate About You ,6.408710023554981
Loaded Weapon 1 ,5.717440583796851
Admission ,5.842956055532358
Antwone Fisher ,6.503864819607993
The Exorcist ,7.3844404308342515
Jaws ,8.898734958571739
Act of Valor ,6.145797737084212
Harold & Kumar Escape from Guantanamo Bay ,6.454942249244783
Max Keeble's Big Move ,5.714023782307169
Sorority Boys ,5.77706809572552
For Your Consideration ,5.755724421472353
Running with Scissors ,6.138816037152172
The Pursuit of D.B. Cooper ,6.302730702277956
The Dangerous Lives of Altar Boys ,5.941276931378518
Tomcats ,5.884175231518009
Inside Llewyn Davis ,7.661919424694659
September Dawn ,6.253664067530658
Good Will Hunting ,8.586677233597854
Saw III ,6.032244829151057
Commando ,6.312056925557033
Pete's Dragon ,5.458073959510821
The Long Riders ,6.278514607566161
Seeking a Friend for the End of the World ,6.837145509660499
Rescue Dawn ,6.5322080459847305
The Forest ,5.0867157970937225
The Joneses ,6.132245003962912
Rosewater ,6.356195344920036
Elsa & Fred ,5.389222265173993
Eulogy ,5.839187787358351
Next Friday ,6.0539155079987825
Re-Kill ,5.26169964242309
Fiddler on the Roof ,7.734096407468706
Detention ,5.88402198088288
The Sound of Music ,8.31492510566729
Drive Me Crazy ,5.700343098656143
The Wendell Baker Story ,5.581390139008961
Witless Protection ,5.4488332740871215
The Godfather ,10.483466807840362
Who's Your Caddy? ,5.429386415677186
Redbelt ,6.463054316775392
Stargate: The Ark of Truth ,5.587830421498432
Dazed and Confused ,6.664859988446828
Bernie ,6.25690081018239
Ouija ,5.618662155745854
"20,000 Leagues Under the Sea ",7.3089231539385455
Oculus ,5.989050444385866
"As Above, So Below ",5.509137911168335
Friday the 13th Part VIII: Jason Takes Manhattan ,6.481493159535078
Diner ,6.551758323300296
The Forsaken ,5.206209040360357
Rabbit Hole ,6.4526733022542
Green Room ,6.617718058411684
Dead Like Me: Life After Death ,5.679821032644041
Capricorn One ,6.423287776225702
Hostel ,5.773008295263278
25th Hour ,7.3169569683481015
Silent Movie ,6.302537329925709
Hansel & Gretel Get Baked ,5.6456253563112355
The Front Page ,6.417494666637302
The Rules of Attraction ,6.271631950961476
Topaz ,7.065260464568406
Samsara ,6.85272483018414
Trust ,6.160775872707619
Another Happy Day ,5.8676354540119995
Midnight Cowboy ,7.273013094688973
The Nun's Story ,7.427856880037393
Harper ,6.5337703710953345
The Original Kings of Comedy ,6.338566060851347
Dave Chappelle's Block Party ,6.051650471615277
Next Day Air ,5.5811346764422884
Bachelorette ,6.039384477137308
Enter the Dangerous Mind ,5.4187944809246105
Pocketful of Miracles ,6.872742042489837
Hustle & Flow ,6.502159335130572
The Wizard of Oz ,8.329354997321154
A Guy Named Joe ,7.471701497402061
Timber Falls ,5.228641458783323
That Thing You Do! ,6.483860575401067
Get on the Bus ,6.818186794178688
Friday the 13th: A New Beginning ,5.858936501201887
It Follows ,6.452107572893372
Full Frontal ,6.284276812412551
Sherrybaby ,6.251287325526283
Rockaway ,5.4778571662190165
The Marine 4: Moving Target ,5.340906056863115
"Happy, Texas ",5.784111225242467
Kids ,6.635838734685636
Kissing Jessica Stein ,6.069506566446399
The Believer ,6.65002382810463
Snow Angels ,6.412693297245362
Session 9 ,5.48027702731438
Hatchet ,6.246491235700191
Checkmate ,5.435417722034672
The Hebrew Hammer ,5.927320107486156
C.H.U.D. ,5.797523686070628
Extreme Movie ,5.451037987514562
Sands of Iwo Jima ,7.077103119263415
Next Stop Wonderland ,6.0718070612199595
Obvious Child ,5.737744050888845
Frozen River ,6.35205205224319
Special ,5.769838125877952
Hits ,5.632812063439729
Black Rock ,5.056863121128537
Charly ,6.901359651900304
The Brass Teapot ,5.744889303154594
Safety Not Guaranteed ,6.406961881164408
L.I.E. ,5.950508137653305
Adulterers ,5.767608962443775
To Save a Life ,5.951193423106738
Beyond the Mat ,6.568774288601334
The Little Ponderosa Zoo ,4.809981205357345
42nd Street ,7.777526510549695
Paranormal Activity ,6.176473386871552
I Want Your Money ,6.572554230267545
The Broadway Melody ,7.036362454074286
Pieces of April ,5.786909495992449
Lovely & Amazing ,5.964844454100305
Death Calls ,5.671259263992661
An American Girl Holiday ,6.1660152068769625
A Charlie Brown Christmas ,5.894922675414811
Facing the Giants ,6.092384176192911
The Call of Cthulhu ,5.622226527810415
Raymond Did It ,5.091311741445317
